,I,I,I,I,I,II,II,II,II,II,IV,IV,IV,IV,IV,V,V,V,V,V,VIII,VIII,VIII,VIII,VIII,X,X,X,X,X,XI,XI,XI,XI,XI,XIII,XIII,XIII,XIII,XIII,XV,XV,XV,XV,XV,XVIII,XVIII,XVIII,XVIII,XVIII,XXI,XXI,XXI,XXI,XXI,XXII,XXII,XXII,XXII,XXII
,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co
2017-01-10,48,4,36, ,13,48,22,19,3,8, ,12, ,1,13,,,,,,38,7,32,7,10,49,2, , , ,46,6, ,1,11,,,,,,56,17,20,2,7,40,16,18,2,6,60,12, ,4,20,34,13, , , 
2017-01-09,29,8,27, ,11,29,14,19,2,8, ,15,16,1,9,,,,,,24,14,23,5,7,34,7, , , ,26,6, ,1,8,,,,,,43,20,18,2,5,30,17,20,2,5,50,14, ,4,18,19,17, , , 
2017-01-08,30,16,23, ,8,33,27,10,3,4,10,18,18,1,7,,,,,,28,15,22,6,5,32,8, , , ,31,11, ,1,7,,,,,,44,21,19,2,6,26,15,23,3,5,60,13, ,4,17,25,19, , , 
2017-01-07,24,13,28, ,9,25,29,18,3,6,9,21,21,1,10,,,,,,16,15,25,7,6,22,9, , , ,19,10, ,1,9,,,,,,30,21,15,4,4,17,18,14,6,3,39,11, ,5,21,15,16, , , 
2017-01-06,19,20,15, ,7,15,26,9,5,4,7,21,11,2,6,,,,,,12,20,15,8,4,13,12, , , ,14,15, ,1,6,,,,,,14,26,9,2,2,14,21,12,2,2,20,18, ,6,15,7,23, , , 
2017-01-05,14,24,12, ,5,10,30,4,3,3,4,25,4,1,3,,,,,,12,24,13,5,3,9,16, , , ,11,19, ,1,4,,,,,,9,23,8,1,2,9,22,9,1,2,14,23, ,4,11,6,27, , , 
2017-01-04,22,19,11, ,6,14,27,4,2,2,13,23,5,1,3,,,,,,15,21,11,3,3,22,13, , , ,22,16, ,1,4,27, , , , ,24,15,17,1,3,15,11,12,1,4,30,21, ,3,10,17,24, , , 
2017-01-03,33,7,23, ,7,34,21,7,2,3,17,13,19,1,5,,,,,,20,11,18,3,5,24,4, , , ,23,8, ,1,6,26, , , , ,27,17,11,1,3,16,14,12,1,4,30,11, ,3,12,20,14, , , 
2017-01-02,66,10,16, ,5,68,22,6,2,3,50,17,11,1,5,,,,,,57,15,13,3,4,67,5, , , ,65,11, ,1,5,68, , , , ,59,13,16,1,6,54,10,11, ,6,77,13, ,2,12,53,14, , , 
2017-01-01,70,4,24, ,8,69,8,16,2,7,59,10,20,1,9,,,,,,72,9,20,4,8,105,4,15,1,13,89,3, ,1,9,87,3, ,3,8,71, , , , ,86, , , , ,129,4,15,3,22,78,4, ,3,22
2016-12-31,49,2,21, ,10,50,5,15,2,9,52,7,18,1,11,,,,,,55,4,22,7,12,73,2,27,2,16,65,1, ,2,12,63,2, ,7,10,66,8,14,1,10,66,6,15,1,13,109,6,27,4,27,55,11, ,4,27
2016-12-30,32,1,32, ,9,31,15,15,3,7,36,6,28,1,14,,,,,,37,3,32,6,12,47,1,27,1,9,40,1, ,2,13,46,1, ,6,9,52,3,24,1,11,41,7,27,2,16,72,7,27,3,20,26,15, ,3,20
2016-12-29,18,2,30, ,6,16,15,16,2,7,18,6,28,1,12,,,,,,15,5,30,5,10,21,2,15,1,3,20,3, ,1,9,16,2, ,5,6,23,5,24,1,9,14,7,27,1,9,29,19,15,3,11,11,22, ,3,11
2016-12-28,14,19,20, ,4,9,25,10,2,4,7,22,16,1,7,,,,,,9,21,18,2,4,10,14,7,1,1,11,15, ,1,5,13,19, ,2,4,9,23,17,1,5,7,21,15,1,3,15,24,7,3,7,8,26, ,3,7
2016-12-27,13,24,9, ,3,9,29,3,2,2,5,25,2,1,2,,,,,,10,25,9,1,2,8,18,6,1,3,10,20, ,3,5,11,24, ,1,3,7,27,7,1,1,7,26,7,1,1,13,23,6,2,7,6,26, ,2,7
2016-12-26,11,24,9, ,5, ,27,3,1,1,5,25,2,1,2,,,,,,7,25,6,1,3,9,16,9,2,5,10,19, ,1,4,9,24, ,1,5,9,27,5,1,1,10,26,6,1,3,17,15,9,2,9,9,18, ,2,9
2016-12-25,17,15,12, ,6,,,,,,11,18,5,1,3,,,,,,13,16,12,2,5,21,9,7, ,6,20,11, ,1,6,20,15, ,2,6,20,19,8,2,2,16,17,9,2,5,31,10,7,2,10,19,12, ,2,10
2016-12-24,26,7,16, ,8,,,,,,18,12,12,1,5,,,,,,17,10,13,2,6,28,2,7, ,6,29,6, ,1,7,32,7, ,2,8,28,10,13,1,4,20,10,7, ,6,39,5,7,2,11,23,5, ,2,11
2016-12-23,38,2,13, ,9,50, , , , ,35,3,15,1,7,,,,,,27,4,12,2,7,36,1,11,1,6,36,1, ,1,9,38,2, ,2,9,33,3,12,1,5,33,6,7, ,6,48,8,11,3,9,28,10, ,3,9
2016-12-22,43,6,12, ,8,41,9,6,2,3,41,9,12,1,5,,,,,,32,8,12,5,6,44,3,7,1,4,44,4, ,1,8,46,6, ,5,8,40,7,11,2,4,32,5,11,1,6,52,12,7,6,8,31,12, ,6,8
2016-12-21,34,8,17, ,7,31,12,8,3,3,29,10,18,2,6,,,,,,21,10,15,10,5,28,5,7, ,6,29,6, ,1,7,33,8, ,10,7,26,11,14,2,3,23,12,7,1,4,38,9,7,3,8,20,10, ,3,8
2016-12-20,40,4,19, ,6,39,7,13,2,4,36,7,16,2,7,,,,,,28,8,14,7,5,39,3,7, ,8,40,3, ,1,7,46,4, ,7,6,35,9,9, ,3, ,26,7, ,6,46,11,7,2,7,25,10, ,2,7
2016-12-19,48,5,18, ,6,47,10,12,2,4,37,8,20,1,7,,,,,,32,8,15,6,5,40,3,8, ,8,44,4, ,1,7,48,5, ,6,6,35,9,14, ,3,43,29,7, ,8,49,7,8,2,8,29,5, ,2,8
2016-12-18,46,2,17,2,9,47,3,14,2,6,40,4,17,1,8,,,,,,33,4,14,7,6,46,2,8,1,8,47,1, ,1,8,50,2, ,7,9,40,4,13, ,4,48,25,8, ,8,56,6,8,2,8,32,7, ,2,8
2016-12-17,47,6,15,2,7,41,10,11,2,4,57,7,14,1,7,,,,,,52,6,13,6,5,59,2,12,1,11,48,2, ,1,7,66,6, ,6,7,60,8,10, ,4,54,25,8,1,8,69,3,12,4,13,44,4, ,4,13
2016-12-16,44,1,23,2,10,40,10,15,2,6,43,3,27,2,14,,,,,,34,2,21,10,10,44,1,20,1,11,42,1, ,1,9,47,1, ,10,10,46,2,19, ,9,43,23,12,1,11,65,11,20,3,13,27,11, ,3,13
2016-12-15,50,2,29,2,9,47,10,19,2,8,41,6,28,2,13,,,,,,40,6,26,8,9,52,4,19, ,10,57,2, ,2,9,54,2, ,8,9,48,8,23,1,8,57,31,20,1,11,65,1,19,2,10,42,2, ,2,10
2016-12-14,42,1,24,2,9,38,3,16,2,6,38,2,20,1,8,,,,,,34,1,23,7,7,42,1,19,1,10,40, , ,1,9,46,1, ,7,9,46,1,18, ,5,43,20,19, ,10,50,2,19,2,8,31,4, ,2,8
2016-12-13,28,3,25,2,7,24,10,16,2,5,29,3,28,2,8,,,,,,24,4,24,7,6,28,3,20,1,9,27,2, ,1,7,28,3, ,7,7,29,6,22,1,5,27,27,19,1,10,34,13,20,4,10,20,14, ,4,10
2016-12-12,12,9,27,2,6,8,17,14,2,3,6,11,27,2,8,,,,,,9,10,24,7,5,8,8,10, ,7,9,9, ,1,6,9,9, ,7,6,9,12,22,1,4,9,34,20,1,9,11,16,10,2,8,5,19, ,2,8
2016-12-11,35,17,11,1,4,18,22,4,2,1,31,18,7,1,3,,,,,,33,18,10,7,3,36,12,15,1,10,40,13, ,1,3,38,17, ,7,4,36,17,8,1,2,46,37,10, ,7,40,19,15,2,12,22,22, ,2,12
2016-12-10,26,18,23,2,6,20,27,10,2,3,22,21,19,2,9,,,,,,21,20,20,6,7,29,11,19,1,10,31,12, ,1,8,25,18, ,6,6,29,22,16,1,5,30,41,15,1,10,40,11,19,2,12,24,14, ,2,12
2016-12-09,50,9,27,2,6,42,21,12,2,3,39,15,19,2,7,,,,,,38,10,27,6,8,49,3,16,1,10,48,6, ,1,7,44,9, ,6,6,42,13,18,1,4,58,30,19,1,10,53,5,16,2,10,34,7, ,2,10
2016-12-08,58,4,23,2,7,56,11,14,2,5,54,6,20,2,8,,,,,,45,4,20,6,6,58,1,10, ,9,58,1, ,4,9,57,4, ,6,7,52,4,17,1,5,62,23,16,1,10,67,5,10,2,10,44,6, ,2,10
2016-12-07,54,2,18,2,6,52,6, ,2,5,62,3,20,2,9,,,,,,53,4,14,5,6,64,2,25,1,16,69,2, ,2,8,59,2, ,5,6,63,3,16, ,5,68,25,10, ,9,94,2,25,4,21,51,5, ,4,21
2016-12-06,49,2,31,2,8,49,11, ,2,8,45,3,33,2,15,,,,,,37,2,29,8,11,46,1,17, ,9,49,1, ,2,12,49,2, ,8,8,49,2,25,1,10,50,22,25,1,16,55,10,17,2,10,35,12, ,2,10
2016-12-05,56,7,20,2,6,59,12, ,2,4,59,9,21,1,10,,,,,,47,8,17,5,6,58,4,19, ,11,54,4, ,2,9,56,7, ,5,6,61,9,16, ,6,63,25,17, ,9,70,6,19,2,14,43,7, ,2,14
2016-12-04,38,1,30,5,10,27,3, ,2,9,49,5,28,2,14,,,,,,40,3,25,6,9,55,3,24,1,17,43,1, ,2,10,46,1, ,6,10,58,6,21, ,9,64,24,19, ,11,74,9,24,3,17,33,10, ,3,17
2016-12-03,20,2,32,3,10,15,19,15,1,6,15,5,33,2,14,,,,,,11,4,41,6,10,16,3,16, ,7,18,2, ,2,11,14,2, ,6,10,15,4,26,1,11,15,28,24,1,17,28,21,16,2,7,11,21, ,2,7
2016-12-02,13,17,17,3,5,8,21,8,1,3,7,20,12,1,4,,,,,,7,19,33,4,3,8,18,8, ,5,11,14, ,1,5,10,17, ,4,5,10,20,11, ,2,9,39,16, ,7,12,23,8,2,4,5,24, ,2,4
2016-12-01,16,20,11,3,4,12,24,4,1,1,11,23,6,1,3,,,,,,11,21,13,3,2,14,20,13,1,7,15,15, ,1,3,16,20, ,3,4,18,24,6,1,1,15,42,8, ,5,20,14,13,2,4,11,15, ,2,4
2016-11-30,25,13,15,3,5,18,16,6,1,1,24,14,10,1,3,,,,,,20,14,13,3,2,28,13, ,1,8,22,8, ,1,4,22,13, ,3,5,24,15,10, ,2,25,33,13,1,7,38,8, ,2,7,18,13, ,2,7
2016-11-29,18,10,21,3,6,15,17,10,1,3,12,13,18,2,6,,,,,,17,9,23,4,5,15,7, ,1,6,20,9, ,1,5,18,10, ,4,6,18,13,16,1,3,17,27, ,1,8,20,20, ,2,4,10,21, ,2,4
2016-11-28,18,18,17,3,4,10,23,8,1,2,8,22,12,1,4,,,,,,10,19,16,4,4,10,18,3,1,3,16,13, ,1,4,12,18, ,4,4,10,20,14,1,2,11,39, ,1,6,12,21,3,1,3,6,24, ,1,3
2016-11-27,27,17,13,2,3,21,22,4,1,1,13,22,7,1,2,,,,,,14,19,10,3,3,14,19,9,1,3,18,12, ,1,2,18,17, ,3,3,18,22,8, ,1,21,37,3,1,3,19,20,9,1,5,10,21, ,1,5
2016-11-26,54,16,13,3,5,49,20,4,2,3,37,20,8,1,5,,,,,,39,20,9,4,5,46,17,12,2,5,57,11, ,1,3,52,16, ,4,5,44,21,7,1,3,35,21,9,1,3,53,6,12,2,8,40,7, ,2,8
2016-11-25,58,2,21,3,8,54,6,11,2,5,45,4,16,1,8,,,,,,42,4,18,4,9,52,4,18,2,5,58,1, ,2,6,59,2, ,4,8,53,6,12,1,6,48,11,12,2,5,61,13,18,2,7,42,11, ,2,7
2016-11-24,53,5,26,3,6,47,12,13,3,4,41,9,18,2,6,,,,,,33,7,24,4,7,39,13,14,2,4,49,2, ,1,4,49,5, ,4,6,46,10,18,1,5,40,15,18,2,5,46,12,14,3,5,31,12, ,3,5
2016-11-23,44,6,24,3,7,38,6,16,2,5,38,8,20,2,8,,,,,,30,9,21,5,7,29,11,14,2,3,46,6, ,4,5,47,6, ,5,7,34,10,17,1,6,33,14,14,2,4,39,12,14,2,5,23,12, ,2,5
2016-11-22,39,5,24,3,7,31,7,15,2,4,30,8,21,2,9,,,,,,24,9,21,4,7,26,11,14,2,4,46,2, ,1,5, ,5, ,4,7,31,14,16,1,5,28,13,14,2,3,34,11,14,6,11,21,13, ,6,11
2016-11-21,42,7,25,3,7,34,8,13,2,4,23,9,18,2,6,,,,,,22,11,19,4,6,22,21,8,3,5,39,2, ,1,5, ,7, ,4,7,27,14,16,1,5,27,13,14,2,4,28,13,8,5,13,21,13, ,5,13
2016-11-20,42,8,18,3,4,33,11,11,2,2,27,10,14,2,5,,,,,,26,12,14,6,4,32,12,11,1,6,43,3, ,2,3, ,8, ,6,4,32,16,9,2,3,35,14,8,3,5,42, ,11,3,15,25,14, ,3,15
2016-11-19,62,7,23,3,8,49,12,11,2,4,47,8,16,1,6,,,,,,41,11,20,4,6,45,10,11,5,6,66,3, ,2,6, ,7, ,4,8,49,13,12,1,4,44,15,11,1,6,55, ,11,5,15,37,15, ,5,15
2016-11-18,56,4,28,3,8,44,15,12,4,4,35,4,20,2,9,,,,,,33,7,24,6,8,40,11,12,4,6,49,2, ,2,8,34,4, ,6,8,43,10,17,3,5,40,18,11,5,6,49, ,12,6,14,33,15,14,6,14
2016-11-17,50,2,27,3,7,45,12,14,3,4,34,7,16,2,7,,,,,,31,9,21,6,6,42,13,12,2,6,48,2,14,2,5,35,2, ,6,7,41,12,15,2,5,41,21,12,4,6,49, ,12,5,13,34,11,16,5,13
2016-11-16,43,4,22,5,6,40,7,14,2,4,36,7,16,2,6,,,,,,32,7,18,7,5,40,7,13,1,6,35,1,16,1,4, ,4, ,7,6,42,11,11,2,3,44,11,12,2,6,45, ,13,4,13,28,10,14,4,13
2016-11-15,49,5,24,2,6,42,14,12,2,3,50,6,24,1,7,,,,,,44,8,20, ,5,52,6,24,1,9,50,3,14,1,4, ,5, , ,6,57,11,17,1,4,54,13,13,1,6,66, ,24,4,19,39,9,25,4,19
2016-11-14,34,4,31,3,8,31,13,17,1,6,25,4,32,2,13,,,,,,21,4,30,16,11,35,5,22,1,9,30,4,25,2,8, ,4, ,16,8,32,5,25,1,9,41,10,24,1,9,45, ,22,4,15,26,11,22,4,15
2016-11-13,26,5,27,3,7,23,10,15,1,7,18,11,22,1,6,,,,,,19,9,25,17,8,26,5,11,1,6,18,4,22,1,4, ,5, ,17,7,29,7,21,1,5,26,9,22,1,9,34, ,11,3,11,14,19,13,3,11
2016-11-12,25,13,15,2,4,20,17,7,1,3,17,15,12,1,4,,,,,,15,16,15,16,6,17,13,8,2,5,18,9,13,1,2, ,13, ,16,4,22,17,12,1,4,20,15,11,1,6,18, ,8,4,9,13,14,11,4,9
2016-11-11,47,8,14,2,4,37,16,4,2,2,32,10,10,1,4,,,,,,40,9,15,16,5,36,13,12,2,6,41,4,11,1,2, ,8, ,16,4,39,10,11,1,3,36,16,8,2,5,49, ,12,5,11,29,6,15,5,11
2016-11-10,38,3,22,2,6,24,8,14,1,4,31,4,20,1,7,,,,,,43,3,21,9,7,38,7,17,1,8,34,1,15,1,3, ,3, ,9,6,39,8,15,1,4,44,10,12,2,6, , ,17,3,11,28,8,18,3,11
2016-11-09,23,3,27,2,6,18,9,15,1,4,14,3,27,1,8,,,,,,16,2,25,4,7,18,4,14,1,4,18,2,18,4,8, ,3, ,4,6,22,4,20,1,5,17,8,17,1,8, , ,14,3,8,13,19,14,3,8
2016-11-08,29,13,17,2,3,21,17,6,1,2,18,16,10,1,3,,,,,,21,7,14,6,4,23,13,14,1,5,21,8,14, ,5, ,13, ,6,3,27,15,11,1,2,27,15,14,1,4, ,8,14,3,9,16,11,16,3,9
2016-11-07,20,7,18,2,4,15,12,8,1,2,13,10,12,1,5,,,,,,13,3,18,3,6,15,5,11,1,5,15,5,16, ,6,11,7, ,3,4,20,6,13,1,3,14,6,14,1,5, ,17,11,2,7,12,14,13,2,7
2016-11-06,24,11,15,2,3,18,13,6,1,2,19,11,11,1,4,,,,,,16,7,12,3,5,19,10,5,1,5,22,6,13,1,6, ,11, ,3,3,21,13,9,1,3,18,12,11,1,5, ,19,5,2,9,15,14,10,2,9
2016-11-05,42,4,20,2,6,30,11,4,1,2,28,7,14,1,5,,,,,,31,4,15,4,5,32,10,12,1,5,36,1,10,1,8,36,4, ,4,6,37,10,10,1,3,32,15,5,1,5, ,10,12,3,9,27,9,18,3,9
2016-11-04,34,4,22,2,5,23,7,14,1,4,32,5,17,1,5,,,,,,34,3,20,4,6,33,10,19,1,6,28,2,18, ,8,29,4, ,4,5,33,7,14, ,4,31,9,12,1,5, ,13,19,3,10,21,12,22,3,10
2016-11-03,23,5,32,5,7,11,10,17,1,4,10,7,27,1,7,,,,,,12,3,29,4,7,11,6,11, ,3,14,3,22, ,7,13,5, ,4,7,13,7,21, ,5,10,12,19,1,6, ,25,11,2,6,8,20,14,2,6
2016-11-02,37,15,16,2,4,17,19,6,1,2,19,18,10,1,4,,,,,,25,10,13,3,3,24,18,11,1,4,25,11,14, ,4,29,15, ,3,4,24,20,10, ,2,27,20,11, ,3, ,21,11,2,8,17,17,14,2,8
2016-11-01,28,13,20,3,5,21,17,6,1,2,25,16,14,1,5,,,,,,25,7,16,3,4,29,14,13,1,5,30,9,14,1,6,27,13, ,3,5,28,16,12,1,3,26,16,11,1,4, ,19,13,3,9,22,17,15,3,9
2016-10-31,19,9,21,2,5,12,16,8,1,3,13,11,17,1,6,,,,,,13,6,17,3,4,14,12,10, ,3,17,8,15, ,6,14,9, ,3,5,16,16,13,1,3,14,16,13,1,5, ,30,10,2,6,12,25,13,2,6
2016-10-30,19,20,13,2,3,10,22,5,1,2,11,20,9,1,4,,,,,,12,12,12,2,3,12,21,6, ,3,14,14,13, ,4,13,20, ,2,3,12,23,11, ,2,10,23,10, ,3, ,30,6,1,6,9,24,10,1,6
2016-10-29,30,20,11,2,3,21,22,3,1,1,20,21,6,1,3,,,,,,20,13,7,3,2,24,21,9, ,4,21,14,10, ,3,24,20, ,3,3,25,24,6, ,1,31,24,6, ,3, ,28,9,2,7,19,21,13,2,7
2016-10-28,38,17,15,2,4,29,21,4,1,1,29,21,12,1,5,,,,,,39,10,13,3,3,38,19,17,1,6,31,11,13, ,4,35,17, ,3,4,37,24,10, ,2,39,23,9, ,4, ,21,17,3,10,25,17,19,3,10
2016-10-27,30,8,25,2,6,23,15,12,1,4,20,12,20,1,8,,,,,,18,6,21,4,7,24,12,13,1,5,26,9,19,1,6,24,8, ,4,6,23,12,17, ,5,24,17,17,1,6, ,16,13,2,8,18,14,17,2,8
2016-10-26,27,9,20,2,5,21,13,9,1,3,21,13,13,1,5,,,,,,16,5,18,3,5,24,13,9,1,5,23,6,17,1,4,27,9, ,3,5,26,15,12, ,2,28,14,13,1,5, ,8,9,1,8,16,10,11,1,8
2016-10-25,43,5,14,2,5,40,11,7,1,3,32,4,12,1,7,,,,,,28,3,14,4,5,35,5,10,2,5,42,2,11,1,4,42,5, ,4,5,34,6,10, ,4,33,7,9,1,5, ,12,10,3,8,28,9,13,3,8
2016-10-24,41,3,17,2,6,35,3,11,1,4,28,2,15,1,7,,,,,,32,2,16,5,6,33,7,8,1,5,41,1,13,3,8,54,3, ,5,6,33,4,11,1,3,31,9,10,2,5, ,9,8,2,7,30,9,13,2,7
2016-10-23,31,5,16,2,5,64,7,11,2,3,26,6,12,1,6,,,,,,31,3,14,4,5,35,7,9,2,5,31,2,13,1,8, ,5, ,4,5,36,9,9,1,3,38,7,8,1,5, ,17,9,4,8,24,16,15,4,8
2016-10-22,16,6,18,2,6,15,11,7,1,4,15,11,10,1,7,,,,,,18,5,13,5,6,20,12,11,1,4,17,3,15,1,9, ,6, ,5,6,21,15,7,1,5,14,14,9,2,5, ,27,11,2,7,13,22,15,2,7
2016-10-21,22,13,15,2,3,17,16,6,1,3,13,15,11,1,5,,,,,,13,9,16,3,4,20,18,11, ,4,16,11,15, ,7,11,13, ,3,3,19,18,11, ,3,26,22,11,1,4, ,1,11,2,6,15,4,9,2,6
2016-10-20,26,3,14,2,4,21,6,5,1,2,19,3,10,1,5,,,,,,20,1,15,3,4,22,2,10,1,4,29,1,9,1,7,9,3, ,3,4,25,2,11, ,2,21,4,11, ,4, ,16,10,3,5,17,13,16,3,5
2016-10-19,26,7,21,2,4,21,9,11,1,3,20,10,14,1,5,,,,,,21,6,18,3,5,21,12,7,1,3,22,3,16,1,7,9,7, ,3,4,24,14,11,1,2,20,15,10,1,4, ,20,7,2,4,17,14,13,2,4
2016-10-18,22,6,20,2,4,13,10,10,1,3,15,11,15,1,5,,,,,,17,7,14,3,5,15,12,6,1,2,26,6,13, ,6,6,6, ,3,4,17,15,9, ,2,13,17,7,1,3, ,18,6,5,7,11,17,18,5,7
2016-10-17,15,9,19,3,4,10,10,9,7,2,8,12,12,1,4,,,,,,9,8,13,3,5,8,14,6, ,3,19,4,18, ,6,4,9, ,3,4,8,16,8, ,1,10,17,6,1,2, ,11,6,1,10,8,8,10,1,10
2016-10-16,30,5,13,2,5,27,5,7,14,2,19,6,9,1,4,,,,,,33,5,9,3,5,26,6,8,1,4,23,2,10, ,6,12,5, ,3,5,25,8,5, ,1,31,8,6, ,3, ,16,8,2,11,22,14,13,2,11
2016-10-15,25,9,14,2,6,20,11,5,14,2,19,11,8,1,5,,,,,,20,8,12,3,6,24, ,9,1,4,28,3,13,1,6,11,9, ,3,6,24,13,7, ,2,23,13,8,1,4, ,19,9,2,10,21,16,16,2,10
2016-10-14,25,8,20,2,6,20,10,10,14,3,17,11,12,1,5,,,,,,19,7,15,3,6,14, ,7, ,2,34,4,16, ,6,8,8, ,3,6,19,16,9, ,2,18,16,9,1,4, ,21,7,2,7,11,16,20,2,7
2016-10-13,24,7,19,2,5,19,10,9,12,3,19,12,12,1,5,,,,,,21,6,13,3,5,21, ,12,1,4,25,2,20,1,6,15,7, ,3,5,25,15,8, ,3,21,17,7, ,2, ,13,12,1,8,14,10,14,1,8
2016-10-12,21,7,18,2,6,11,7,8,8,4,10,10,14,2,6,,,,,,11,4,18,3,7,14, ,8,1,3,15,3,14, ,6,7,7, ,3,6,16,8,12, ,3,15,8,12,1,4, ,14,8,2,6,9,14,10,2,6
2016-10-11,19,9,13,1,4,13,9,4,6,2,11,10,7,2,3,,,,,,18,6,12,3,5,15, ,9, ,3,14,6,10, ,5,6,9, ,3,4,15,11,8, ,2,15,10,8,1,3, ,15,9,2,5,8,16,11,2,5
2016-10-10,21,11,14,2,3,21,11,4,6,2,25,11,9,2,3,,,,,,25,7,12,3,4,30, ,14,1,8,25,6,11, ,4,12,11, ,3,3,33,9,10, ,1,39,13,9, ,3, ,8,14,2,10,16,9,16,2,10
2016-10-09,25,2,15,2,4,20,9,7,5,3,23,5,11,2,7,,,,,,28,3,15,4,8,31, ,12,1,7,22,1,16,1,6,9,2, ,4,4,30,5,10, ,5,36,4,14,1,8, ,17,12,2,8,15,18,14,2,8
2016-10-08,21,10,16,2,4,20,10,5,5,3,22,13,12,2,5,,,,,,23,7,16,4,6,26, ,15,1,6,23,7,14, ,5,9,10, ,4,4,27,14,10, ,4,26,14,12,1,7, ,11,15,2,9,11,15,15,2,9
2016-10-07,14,7,17,2,4,11,8,7,4,4,14,8,13,2,6,,,,,,13,4,19,3,6,14, ,11,1,5,13,3,15, ,6,7,7, ,3,4,16,7,11, ,4,17,8,15,1,6, ,7,11,4,10,9,5,13,4,10
2016-10-06,7,3,15,1,3,6,5,7,4,3,7,5,10,2,5,,,,,,5,2,16,3,6,7, ,10, ,3,7,2,13, ,5,2,3, ,3,3,7,2,10, ,3,7,5,11,1,5, ,12,10,4,11,4,10,8,4,11
2016-10-05,16,8,13,1,3,10,10,4,4,2,8,9,8,2,3,,,,,,8,7,11,2,4,10, ,6, ,1,14,5,8, ,4,3,8, ,2,3,9,10,8, ,2,12,8,10, ,3, ,23,6,4,10,1,17,8,4,10
2016-10-04,11,15,10,1,2,6,14,3,3,1,5,15,6,1,2,,,,,,7,10,7,2,3,8, ,7, ,2,9,12,8, ,2,2,15, ,2,2,7,18,6, , ,7,18,6, ,1, ,16,7,3,12, ,13,8,3,12
2016-10-03,24,11,12,1,2,13,12,3,4,1,11,12,7,2,2,,,,,,19,10,8,4,4, , ,7, ,2,14,8,8, ,2,7,11, ,4,2,13,14,7, ,1,12,14,7, ,2, ,23,7,3,12, ,20,9,3,12
2016-10-02,33,12,15,1,3,22,17,3,4,1,22,17,8,1,2,,,,,,31,11,15,5,5, , ,7, ,3,29,12,9, ,1,12,12, ,5,3,24,18,8, ,1,25,19,7, ,2, ,27,7,3,12, ,20,15,3,12
2016-10-01,36,9,24,1,6,24,25,6,5, ,29,16,15,2,4,,,,,,39,13,23,5,6, , ,7, ,3,36,8,15,1,3,17,9, ,5,6,31,19,9, ,2,32,24,7, ,3, ,29,10,3,13, ,20,15,3,12
2016-09-30,39,16,27,1,6,24,21,9,5,1,30,18,20,2,5,,,,,,31,9,26,5,6, , ,10, ,3,49,12,20,1,4,15,16, ,5,6,30,27,14, ,2,30,30,10, ,3, ,18,14,3,12, ,25,20,3,13
2016-09-29,37,8,36,2,7,20,26,12,5,1,24,12,27,2,5,,,,,,25,15,19,5,5, , ,14, ,3,14,7,22,1,4,12,8, ,5,7,25,16,18, ,2,27,23,14, ,3, ,34,13,3,11, ,23,22,3,12
2016-09-28,35,19,30,1,5,20,30,8,4,2,32,22,21,2,4,,,,,,39,9,30,6,9, , ,13, ,3,33,21,17,1,2,17,19, ,5,5,30,22,15, ,2,32,26,13, ,3, ,22,17,3,12, ,27,17,3,11
2016-09-27,25,7,34,1,6,18,23,10,4,2,18,7,26,2,7,,,,,,23,9,24,5,7, , ,17,1,6,32,9,22,1,4,11,7, ,6,6,19,12,19, ,3,27,10,17,1,6, ,20,18,3,10, ,21,22,3,12
2016-09-26,39,12,23,1,4,20,17,10,4,1,20,16,15,2,4,,,,,,27,8,24,6,7, , ,18,1,3,37,6,24,1,3,12,12, ,5,4,23,14,14, ,1,24,16,18,1,3, ,24,15,4,8, ,20,24,3,10
2016-09-25,24,12,21,2,4,17,13,10,3,2,24,13,15,2,4,,,,,,29,13,18,4,6, , ,15,1,3, ,7,22,1,5,11,12, ,6,4,28,13,14,1,1,30,18,15,1,3, ,26,14,3,8, ,23,22,4,8
2016-09-24,23,11,22,1,4,15,24,7,3,1,21,16,15,2,5,,,,,,28,10,26,5,7, , ,14,1,4, ,7,19, ,6,12,11, ,4,4,21,15,10, ,1,29,21,14,1,4, ,30,18,3,4, ,25,19,3,8
2016-09-23,24,18,23,1,3,14,26,7,3,1,19,23,16,2,4,,,,,,27,11,25,4,6, , ,18,1,4, ,11,22, ,6,10,18, ,5,3,15,21,13, ,1,20,19,18,1,4, ,20,17,3,3, ,28,22,3,4
2016-09-22,23,13,24,1,3,13,24,8,3,1,15,17,18,2,4,,,,,,17,9,19,4,5, , ,17,1,4, ,7,23, ,6, ,13, ,4,3,15,20,15, ,1,18,22,17,1,4, ,21,14,3,2, ,23,23,3,3
2016-09-21,25,11,21,1,3,17,16,7,3,1,15,15,13,2,3,,,,,,20,12,16,3,4, , ,14,1,2, ,9,17, ,5, ,11, ,4,3,18,14,12, , ,21,17,14,1,2, ,24,15,3,2,15,22,17,3,2
